Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Thu 26 Apr 2018,,448,324,363,486,98,12,812,550,110,331,113,58,214,731,154,317,342,21,26,712,840,1147,705,132,282,47,11,1327,1175,35,247,,231,562,1497,,764,153,119,205,204,203
Fri 27 Apr 2018,,377,250,328,379,72,14,664,424,91,276,113,53,174,626,132,295,251,28,13,547,623,1007,641,148,154,40,7,1177,1064,38,229,,182,469,1264,,728,155,94,170,168,173
Sat 28 Apr 2018,,47,30,23,60,25,3,89,48,29,58,59,7,58,101,45,65,67,9,0,46,28,89,70,41,16,15,5,176,101,5,23,,15,70,269,,80,17,20,55,34,16
Sun 29 Apr 2018,,150,84,335,143,110,32,224,187,29,159,57,14,59,298,129,282,379,10,27,198,280,392,565,79,343,21,8,801,673,12,153,,226,154,934,,625,143,244,61,71,297
Mon 30 Apr 2018,,412,318,229,457,98,15,767,516,128,276,84,49,238,638,144,364,285,27,5,693,675,1180,667,141,208,49,6,1164,903,31,234,,154,547,1223,,539,69,81,185,162,164
Tue 1 May 2018,,522,359,332,492,128,22,830,529,113,359,104,58,235,785,186,547,363,20,14,683,669,1233,866,151,233,51,7,1468,1108,38,262,,258,591,1539,,669,137,141,187,157,199
Wed 2 May 2018,,552,357,378,512,128,20,955,612,116,353,99,66,243,844,186,493,396,31,12,697,716,1405,862,162,336,49,6,1511,1279,34,300,,313,625,1584,,833,84,130,214,150,227
Thu 3 May 2018,,522,373,408,497,120,16,895,629,108,370,85,57,232,763,159,480,382,30,7,681,716,1316,938,123,314,70,14,1506,1282,33,270,,262,631,1599,,843,37,166,207,168,228
Fri 4 May 2018,,425,297,332,438,94,19,755,467,94,313,95,51,210,651,118,403,305,21,11,624,644,1187,741,155,237,40,8,1350,1201,29,241,,198,553,1455,,838,23,121,186,130,183
Sat 5 May 2018,,222,111,368,195,122,18,342,263,44,235,72,22,84,383,164,424,708,38,12,286,382,517,683,175,400,89,5,1111,878,26,121,,232,209,1322,,764,91,291,104,109,254
Sun 6 May 2018,,179,91,283,142,57,25,210,220,36,180,70,17,67,278,105,247,357,10,7,219,360,404,497,90,298,55,6,845,701,19,132,,144,154,1020,,648,164,131,102,85,198
Mon 7 May 2018,,480,352,274,497,86,20,840,526,117,332,81,55,231,696,148,330,325,19,11,687,700,1223,723,132,252,87,10,1324,1063,44,290,,226,583,1365,,652,87,96,220,168,197
Tue 8 May 2018,,530,372,367,553,127,18,903,590,98,363,100,57,241,770,136,492,405,24,13,781,786,1365,901,161,273,77,13,1659,1244,35,306,,273,653,1765,,787,42,158,215,181,248
Wed 9 May 2018,,480,386,308,511,107,14,955,546,105,314,93,63,223,731,147,521,449,24,8,728,731,1305,826,145,280,62,12,1459,1152,40,285,,211,640,1532,,757,5,99,209,155,201
Thu 10 May 2018,,522,346,351,473,109,15,847,589,116,355,78,58,259,711,168,491,296,27,3,730,737,1261,784,118,217,62,14,1494,1208,48,277,,208,616,1556,,782,41,102,207,173,179
Fri 11 May 2018,,366,242,266,376,52,21,614,387,112,248,106,34,203,533,98,335,250,10,9,528,515,904,533,101,176,40,6,998,863,26,186,,175,468,1123,,555,21,71,159,128,139
Sat 12 May 2018,,104,48,121,94,54,18,154,86,33,118,74,20,60,166,75,156,315,19,3,72,91,191,272,62,70,38,4,433,325,12,49,,110,99,620,,247,22,107,85,56,101
Sun 13 May 2018,,162,70,241,90,54,42,182,159,23,136,41,16,49,196,87,184,467,17,10,180,275,341,458,51,321,34,14,731,585,19,85,,189,105,845,,532,109,145,64,61,260
Mon 14 May 2018,,444,276,259,466,88,12,770,577,107,286,87,58,247,629,122,339,290,20,0,707,663,1179,738,102,252,45,8,1170,901,33,250,,195,536,1212,,561,76,99,173,168,234
Tue 15 May 2018,,459,351,373,485,108,25,784,595,100,331,94,53,256,730,136,500,355,35,4,668,706,1278,756,105,267,49,14,1429,1130,26,260,,206,550,1579,,716,97,114,184,205,179
Wed 16 May 2018,,446,352,286,441,82,18,795,507,101,313,88,53,259,735,178,441,294,29,8,666,696,1174,712,104,269,30,9,1232,1065,27,259,,198,515,1299,,727,58,99,211,168,178
Thu 17 May 2018,,385,305,229,392,63,9,676,439,108,282,92,38,225,589,118,440,271,15,2,561,548,974,550,94,186,66,6,1038,847,44,236,,161,420,1133,,534,46,70,180,142,138
Fri 18 May 2018,,431,289,311,419,102,17,725,429,90,284,109,48,211,625,147,399,304,19,11,549,614,1050,639,131,238,55,8,1194,986,34,209,,201,510,1306,,631,73,111,179,144,187
Sat 19 May 2018,,166,91,284,135,90,13,238,175,36,200,52,27,79,288,189,272,458,22,57,151,197,396,507,103,270,62,9,805,582,23,109,,170,176,1001,,442,100,226,91,67,173
Sun 20 May 2018,,238,107,469,170,88,26,305,352,39,196,100,32,81,354,201,314,685,3,37,283,373,613,770,146,611,89,10,1310,959,34,179,,261,183,1525,,827,196,318,74,74,359
Mon 21 May 2018,,413,283,212,450,76,10,715,468,102,250,75,53,225,572,113,298,258,20,30,625,627,1051,596,106,226,70,13,1097,875,29,235,,177,492,1081,,542,59,65,192,146,148
Tue 22 May 2018,,398,290,229,451,63,24,737,418,116,294,90,44,236,619,115,332,322,8,10,604,624,1062,646,82,204,47,5,1089,914,24,224,,180,523,1111,,544,73,100,213,131,167
Wed 23 May 2018,,217,171,89,251,31,5,401,234,91,142,70,23,154,301,71,195,116,9,0,308,337,534,320,63,92,53,2,623,463,21,124,,90,273,649,,257,25,23,104,96,68
Thu 24 May 2018,,368,256,200,366,62,4,591,390,106,222,78,30,184,498,113,328,194,14,2,497,485,814,465,67,133,53,3,876,754,29,190,,180,445,917,,467,65,59,163,132,115
Fri 25 May 2018,,227,161,105,217,50,10,404,225,78,148,77,22,145,340,87,260,126,9,2,292,328,452,251,79,79,58,2,649,504,16,88,,72,280,744,,335,19,28,98,75,64
Sat 26 May 2018,,214,88,262,141,106,21,284,262,55,152,65,32,61,299,184,275,422,37,17,198,293,560,619,96,293,96,3,830,648,36,130,,211,169,1038,,505,164,230,105,110,266
Sun 27 May 2018,,111,41,134,84,41,35,122,99,27,110,65,12,46,141,72,152,140,9,6,91,120,216,305,78,135,34,12,360,297,13,43,,68,87,444,,231,36,90,74,34,107
Mon 28 May 2018,,429,299,243,427,88,12,698,481,111,289,81,50,207,607,119,291,290,21,10,623,661,1100,627,107,182,92,5,1063,849,26,213,,229,514,1107,,579,87,87,156,138,181
Tue 29 May 2018,,459,324,361,453,110,13,768,548,80,298,104,52,234,685,167,443,335,19,7,645,570,1271,828,93,238,75,4,1305,1090,39,272,,207,561,1464,,639,90,135,198,158,182
Wed 30 May 2018,,446,287,294,434,90,23,720,519,78,292,113,55,202,641,132,384,348,39,3,660,601,1166,697,105,225,70,7,1168,967,33,236,,262,520,1298,,631,51,108,165,132,187
Thu 31 May 2018,,430,300,305,412,84,14,718,524,66,308,84,58,200,617,168,395,353,31,6,611,636,1088,604,87,187,72,13,1081,949,41,241,,247,538,1239,,597,75,96,180,138,190
Fri 1 Jun 2018,,403,264,309,360,104,29,615,448,85,255,84,35,185,546,121,385,304,20,10,584,519,858,502,106,219,106,16,1103,1005,31,168,,168,456,1196,,685,104,95,183,128,173
Sat 2 Jun 2018,,143,66,178,100,69,22,179,114,34,87,52,20,47,204,162,175,342,39,44,111,179,304,381,96,128,62,9,494,404,18,79,,100,116,684,,367,101,168,97,73,140
Sun 3 Jun 2018,,48,26,74,55,13,7,66,53,19,69,34,5,32,93,32,58,81,9,26,37,44,110,167,54,97,17,1,175,144,9,28,,41,68,273,,152,25,27,43,29,68
Mon 4 Jun 2018,,53,40,97,56,41,1,104,72,34,78,37,7,36,104,71,97,162,11,8,88,90,152,209,39,34,19,5,246,164,7,42,,42,72,383,,130,23,60,56,26,68
Tue 5 Jun 2018,,331,226,210,335,74,17,565,342,88,215,74,30,171,471,102,247,183,59,0,512,429,866,528,81,148,49,3,789,699,37,165,,114,383,856,,439,47,67,173,116,108
Wed 6 Jun 2018,,355,271,206,369,62,16,564,338,82,254,85,28,187,499,107,366,199,10,2,536,442,889,439,76,145,47,10,933,736,15,175,,135,406,1021,,475,49,53,175,103,117
Thu 7 Jun 2018,,383,288,286,412,84,18,636,427,93,238,86,42,196,586,108,357,244,17,7,563,482,1007,573,84,178,51,5,1070,847,28,201,,163,477,1179,,502,49,92,191,133,135
Fri 8 Jun 2018,,415,273,275,371,87,20,591,425,77,247,95,41,184,515,116,623,305,41,9,601,511,975,627,107,273,87,9,1159,1005,20,188,,225,464,1281,,704,76,105,158,173,206
Sat 9 Jun 2018,,258,108,433,177,161,21,289,288,55,186,71,19,81,337,237,452,702,53,43,261,314,618,869,98,397,60,11,1243,1087,35,158,,249,258,1530,,848,211,240,115,94,340
Sun 10 Jun 2018,,210,87,351,142,113,25,243,221,27,143,100,13,65,244,168,287,527,22,32,244,290,478,755,88,419,38,5,951,801,14,104,,207,166,1092,,733,163,274,79,78,288
Mon 11 Jun 2018,,321,210,179,323,65,8,505,370,88,215,75,26,149,430,89,253,217,16,2,544,488,899,507,70,115,53,7,843,650,18,145,,107,332,900,,384,50,41,133,111,110
Tue 12 Jun 2018,,187,151,72,187,40,4,310,224,86,136,69,12,122,302,58,136,118,18,3,289,244,481,256,40,55,47,6,496,356,7,94,,52,206,514,,251,25,15,106,86,56
Wed 13 Jun 2018,,337,259,201,373,65,12,564,378,85,263,76,37,197,501,108,300,194,9,4,506,459,965,520,76,159,53,2,940,727,26,219,,143,444,1001,,462,57,45,169,99,139
Thu 14 Jun 2018,,427,322,293,413,85,24,698,410,90,283,88,34,198,589,165,363,314,18,13,579,477,1077,657,93,202,49,13,1158,937,25,236,,182,457,1295,,622,75,85,207,138,171
Fri 15 Jun 2018,,360,244,282,324,80,33,532,372,79,259,109,45,161,532,130,326,227,22,5,520,463,913,546,74,160,82,7,1060,910,31,196,,114,378,1107,,647,34,60,167,137,131
Sat 16 Jun 2018,,193,76,337,168,81,14,268,199,45,170,64,27,62,317,170,315,505,43,43,208,269,513,632,90,364,57,6,993,819,24,147,,174,224,1174,,639,158,220,114,110,209
Sun 17 Jun 2018,,313,107,481,164,116,40,267,391,37,178,80,17,76,314,234,311,637,22,44,306,363,667,913,65,573,55,9,1223,941,19,158,,242,154,1523,,806,183,320,61,94,363
Mon 18 Jun 2018,,363,267,199,378,51,14,597,395,87,232,85,100,229,493,124,275,232,12,2,581,500,1006,590,88,181,62,2,983,798,30,203,,172,395,994,,480,52,75,177,118,144
Tue 19 Jun 2018,,326,275,224,408,72,22,591,374,71,139,84,117,225,531,143,334,273,16,1,555,471,923,522,84,191,46,4,992,758,18,177,,143,397,1112,,486,72,71,166,141,143
Wed 20 Jun 2018,,295,219,153,329,37,4,536,312,88,117,74,113,158,434,107,244,193,15,0,451,397,814,479,69,59,46,8,823,617,13,158,,144,346,910,,393,26,33,168,119,111
Thu 21 Jun 2018,,231,222,123,245,24,10,427,247,83,178,85,32,140,336,115,156,172,14,0,320,257,504,277,46,29,47,11,691,568,19,105,,100,268,747,,358,9,19,141,97,71
Fri 22 Jun 2018,,289,269,276,346,93,21,567,354,69,245,87,84,165,501,143,398,291,20,13,493,411,849,622,93,209,47,6,1116,919,26,151,,170,390,1290,,606,89,130,169,134,166
Sat 23 Jun 2018,,138,82,278,161,140,17,226,261,44,179,76,19,69,266,149,323,505,30,25,179,362,575,670,119,308,58,6,987,803,28,126,,176,222,1176,,628,124,254,126,113,230
Sun 24 Jun 2018,,215,70,317,114,83,22,226,248,21,146,109,25,60,271,182,290,530,18,16,198,336,469,613,57,362,44,2,794,609,15,134,,209,140,1007,,487,107,237,65,65,273
Mon 25 Jun 2018,,188,147,81,258,43,3,381,222,82,165,65,19,124,325,78,197,87,6,1,315,288,540,299,43,55,42,6,590,465,15,118,,80,252,598,,269,41,29,125,82,65
Tue 26 Jun 2018,,171,159,91,235,36,11,342,215,61,153,60,23,125,303,60,215,93,11,0,325,301,516,301,43,63,40,6,535,457,12,92,,86,226,559,,296,16,29,121,80,60
Wed 27 Jun 2018,,329,273,256,387,79,14,636,375,65,250,100,50,194,534,145,362,270,28,8,543,488,920,653,102,250,42,13,1073,831,22,191,,196,402,1172,,550,96,115,158,133,149
Thu 28 Jun 2018,,278,230,223,367,67,10,522,346,81,214,98,40,172,500,128,351,262,18,5,521,457,855,524,79,153,55,7,854,770,14,173,,156,361,919,,491,38,74,165,105,122
Fri 29 Jun 2018,,220,212,220,334,67,18,506,323,77,216,89,35,167,468,108,306,213,28,9,463,393,813,528,88,167,66,6,920,768,21,167,,135,355,1027,145,533,76,67,140,124,136
Sat 30 Jun 2018,,213,139,293,118,124,31,284,230,40,182,87,15,64,292,194,297,555,31,18,226,288,544,697,96,307,44,15,1030,797,19,120,,238,173,1285,104,637,157,288,88,72,252
Sun 1 Jul 2018,,121,77,268,96,62,19,178,157,25,91,51,10,38,173,163,218,400,5,18,184,190,320,543,65,182,38,2,692,550,19,73,,138,81,912,89,429,78,199,52,49,152
Mon 2 Jul 2018,,290,228,182,346,60,14,544,350,72,224,81,35,181,491,104,264,206,66,2,546,486,978,579,96,175,50,11,899,672,22,189,,114,382,784,201,485,55,68,135,127,114
Tue 3 Jul 2018,,344,283,261,405,102,18,675,430,73,259,108,52,186,568,143,406,392,25,29,606,551,1062,726,104,199,59,8,1084,535,28,200,,189,439,775,203,589,77,104,194,138,169
Wed 4 Jul 2018,,319,268,255,387,86,24,596,398,87,213,88,65,202,547,139,391,228,120,3,554,490,989,681,100,188,44,7,1006,565,20,202,,156,414,744,180,627,67,85,143,146,157
Thu 5 Jul 2018,,321,275,236,368,86,33,605,398,88,245,105,53,200,516,125,366,278,23,6,569,508,973,597,77,192,55,7,988,545,41,187,,176,440,720,162,604,45,104,139,129,138
Fri 6 Jul 2018,,238,248,293,340,92,22,577,389,74,234,97,58,185,519,102,294,277,23,11,518,454,901,658,102,223,53,8,1036,562,28,178,,181,365,1077,191,780,76,93,177,119,156
Sat 7 Jul 2018,,181,83,272,143,102,11,191,247,35,126,73,21,59,266,140,314,417,31,36,205,295,453,571,99,292,57,8,978,363,17,128,,148,150,1034,80,612,61,250,60,78,198
Sun 8 Jul 2018,,182,58,244,125,81,20,168,203,31,128,65,9,48,217,123,194,340,6,20,164,239,409,551,58,290,49,14,769,571,28,112,,154,143,851,107,512,136,159,65,77,202
Mon 9 Jul 2018,,234,205,134,270,51,14,425,261,83,191,85,35,177,415,62,124,132,22,8,424,341,684,343,84,78,44,4,784,568,30,136,,82,302,702,111,406,71,59,132,117,94
Tue 10 Jul 2018,,207,185,121,276,49,8,442,241,69,177,82,32,155,411,79,140,129,21,2,391,336,645,337,62,49,50,11,740,652,23,146,,70,294,707,94,454,33,24,120,123,89
Wed 11 Jul 2018,,332,255,221,351,75,12,564,361,74,250,93,42,171,505,111,265,236,26,10,516,487,903,552,65,154,49,14,866,839,28,190,,178,371,1077,134,665,61,69,143,137,160
Thu 12 Jul 2018,,279,251,247,365,85,15,520,337,70,229,81,49,183,489,111,242,296,26,12,526,490,871,637,79,260,60,7,964,991,26,182,,187,372,1245,158,646,106,126,153,154,163
Fri 13 Jul 2018,,240,222,259,297,61,22,480,291,72,154,95,43,157,458,123,230,231,20,45,442,444,758,489,84,206,49,2,974,933,28,143,,154,356,1133,126,745,74,99,120,136,179
Sat 14 Jul 2018,,74,78,228,121,103,17,229,147,29,132,84,31,56,218,161,179,355,25,45,158,159,337,442,62,181,50,5,880,539,25,74,,136,145,763,41,500,93,182,53,85,165
Sun 15 Jul 2018,,187,15,19,35,20,2,46,31,22,61,41,0,31,58,24,35,32,11,9,28,28,67,61,32,117,16,4,474,123,18,21,,26,40,178,12,121,18,30,51,29,30
Mon 16 Jul 2018,,307,217,170,305,71,15,557,342,101,215,76,40,160,473,95,171,171,14,16,445,380,804,517,72,195,48,8,875,743,28,167,,102,408,955,117,547,131,66,121,113,110
Tue 17 Jul 2018,,305,287,246,403,126,14,656,484,84,289,97,51,182,620,133,289,338,12,7,562,517,1062,679,105,221,43,8,966,979,29,201,,183,484,1210,170,693,110,124,152,174,172
Wed 18 Jul 2018,,302,271,224,382,136,8,662,393,101,261,73,49,227,559,162,239,270,34,6,532,464,973,601,99,210,32,10,856,951,22,193,,139,476,1092,177,652,63,88,134,131,162
Thu 19 Jul 2018,,272,253,245,311,72,5,584,318,81,225,90,34,176,489,122,244,183,21,5,460,422,779,469,95,139,42,3,920,816,17,171,,112,412,1012,111,576,81,71,157,155,101
Fri 20 Jul 2018,,309,232,272,349,88,17,596,392,86,177,99,42,164,503,111,232,233,30,8,470,428,878,563,90,191,49,5,1020,977,42,179,,165,454,1099,136,775,95,76,140,155,178
Sat 21 Jul 2018,,210,105,345,168,127,26,242,264,48,192,69,27,76,324,211,333,606,32,51,253,296,557,810,129,381,42,16,1116,982,21,133,,221,220,1414,161,936,149,299,102,84,271
Sun 22 Jul 2018,,117,44,190,84,64,11,145,154,24,95,50,5,51,186,74,102,190,27,18,109,136,251,327,57,166,28,6,618,466,15,69,,111,110,669,90,459,114,73,60,56,132
Mon 23 Jul 2018,,325,295,213,388,62,15,695,431,95,236,83,37,204,552,116,299,250,22,7,562,469,1073,615,99,178,57,8,811,808,27,211,,166,489,1026,189,536,63,52,128,108,171
Tue 24 Jul 2018,,352,317,282,400,90,22,748,444,93,312,81,44,231,632,137,404,350,36,2,627,539,1111,713,79,208,56,9,1061,914,27,235,,216,515,1356,202,605,85,122,130,143,210
Wed 25 Jul 2018,,380,329,258,402,104,21,749,403,87,253,79,50,217,609,129,390,263,27,6,576,478,1011,621,83,176,46,11,912,870,20,201,,155,476,1201,159,584,47,79,173,141,150
Thu 26 Jul 2018,,296,297,249,413,77,24,724,388,110,274,84,30,202,581,118,353,237,15,2,472,415,887,482,94,158,53,9,935,894,23,186,,137,457,1161,137,626,68,91,150,147,121
Fri 27 Jul 2018,,239,239,212,322,82,10,580,316,86,240,107,46,211,490,108,321,253,12,5,451,369,777,474,79,157,44,6,767,772,19,159,,138,415,1001,148,533,47,64,150,124,134
Sat 28 Jul 2018,,188,89,223,119,106,21,229,191,45,129,61,21,78,234,152,250,417,37,12,133,174,383,445,98,188,45,8,579,606,12,93,,150,142,836,85,481,117,223,88,83,164
Sun 29 Jul 2018,,201,79,323,131,123,16,186,217,28,142,88,12,53,208,168,289,456,7,54,221,220,404,593,66,350,49,7,783,684,21,129,,201,127,1059,121,657,151,221,76,73,211
Mon 30 Jul 2018,,401,309,255,429,84,25,764,501,101,265,84,55,243,625,163,369,301,18,8,596,507,1154,733,108,225,59,12,977,925,23,217,,186,511,1235,208,573,65,91,161,153,190
Tue 31 Jul 2018,,339,301,287,414,119,23,760,469,118,278,87,46,248,620,115,396,306,27,11,592,525,1123,751,79,211,53,5,914,968,24,224,,178,540,1157,209,635,62,96,175,133,171
Wed 1 Aug 2018,,377,299,267,445,90,34,752,449,100,260,85,52,238,577,118,399,296,16,3,592,484,1090,653,81,227,39,10,973,697,28,230,,187,492,1186,188,613,68,75,169,152,155
Thu 2 Aug 2018,,407,312,284,407,93,17,726,480,87,269,76,50,201,643,131,381,303,21,2,576,544,1020,651,69,211,49,10,990,693,26,178,,193,465,1283,194,708,45,122,150,159,162
Fri 3 Aug 2018,,239,213,149,254,53,10,499,245,107,204,78,27,141,364,86,237,161,20,7,334,280,609,354,93,131,45,9,659,389,22,129,,92,328,839,117,422,30,27,130,116,93
Sat 4 Aug 2018,,95,114,359,166,144,23,297,285,49,201,72,24,78,352,300,366,647,57,32,219,310,524,836,170,429,66,12,996,838,19,155,,236,222,1520,123,839,171,272,88,112,330
Sun 5 Aug 2018,,147,66,192,120,77,8,158,139,25,118,71,29,45,166,154,175,226,9,20,118,135,394,592,58,253,39,5,340,283,12,101,,104,94,693,55,255,40,209,49,56,123
Mon 6 Aug 2018,,331,285,219,394,87,18,710,441,101,254,96,52,218,564,111,356,280,14,3,574,487,1085,650,95,195,56,10,920,732,28,219,,195,508,1177,207,515,62,88,149,113,150
Tue 7 Aug 2018,,470,328,295,475,120,31,857,549,93,330,82,50,242,680,178,486,447,27,18,658,579,1231,848,102,238,41,6,1084,870,39,234,,235,573,1601,215,713,108,185,189,137,211
Wed 8 Aug 2018,,278,263,180,379,52,9,690,377,108,248,83,27,203,536,133,356,247,18,16,521,431,928,532,84,170,30,8,801,575,13,181,,141,438,1095,173,507,42,76,135,136,139
Thu 9 Aug 2018,,385,339,246,421,91,19,773,417,95,309,84,46,227,602,140,388,319,22,11,547,489,1059,657,104,223,47,8,953,611,31,224,,198,493,1222,190,640,61,107,177,124,170
Fri 10 Aug 2018,,312,307,266,351,88,18,707,370,98,270,106,44,184,586,132,358,317,17,16,492,429,936,639,100,238,63,15,1009,426,29,215,,175,464,1280,172,686,77,128,168,134,158
Sat 11 Aug 2018,,224,150,403,152,133,44,301,235,39,182,81,27,72,325,182,371,595,32,22,199,249,563,849,134,419,63,7,627,459,29,138,,241,197,1468,141,768,220,255,82,87,295
Sun 12 Aug 2018,,344,123,615,179,161,56,303,382,30,158,99,27,66,280,179,426,813,25,45,284,353,720,1113,153,644,52,9,1174,1098,21,195,,364,192,1860,179,945,302,416,67,111,488
Mon 13 Aug 2018,,284,303,191,390,65,16,695,421,105,271,84,40,209,546,116,312,253,15,10,514,466,974,555,98,196,37,13,748,616,23,213,,137,466,1024,175,441,52,75,153,114,127
Tue 14 Aug 2018,,275,192,115,251,54,11,493,269,105,218,70,35,160,441,114,213,133,13,2,352,278,582,361,73,78,43,2,592,410,18,157,,90,312,714,112,322,29,29,117,90,86
Wed 15 Aug 2018,,287,264,131,304,64,13,597,304,100,215,76,32,172,468,114,177,159,11,4,378,317,721,378,76,100,46,17,714,399,18,151,,121,388,828,106,510,46,51,133,121,110
Thu 16 Aug 2018,,358,305,242,407,93,21,764,446,92,289,80,40,190,576,133,371,284,20,5,516,423,981,646,65,157,53,8,885,644,28,185,,155,486,1222,161,579,73,119,163,114,137
Fri 17 Aug 2018,,216,207,142,241,51,28,500,281,94,211,55,44,164,380,112,265,151,9,9,372,319,686,413,65,118,40,7,649,313,10,116,,89,321,844,141,384,29,47,118,106,93
Sat 18 Aug 2018,,73,77,261,136,113,17,308,251,40,143,84,21,56,279,180,335,442,37,28,178,238,459,529,113,290,65,8,841,508,27,109,,156,218,1171,91,643,96,241,77,89,244
Sun 19 Aug 2018,,82,107,500,156,145,39,281,345,36,155,88,22,58,290,185,338,872,14,72,318,450,666,932,82,606,84,6,1135,998,20,158,,331,212,1718,166,1021,156,395,74,85,371
Mon 20 Aug 2018,,339,256,150,373,61,12,654,359,104,246,78,37,224,523,132,286,203,15,14,502,413,864,486,81,195,45,16,721,485,20,170,,123,472,933,163,439,57,43,169,97,132
Tue 21 Aug 2018,,312,260,166,288,65,10,591,327,108,214,84,37,188,456,125,284,153,17,4,462,401,666,371,70,117,41,4,723,407,14,158,,101,360,849,126,462,45,24,110,114,79
Wed 22 Aug 2018,,292,278,153,306,64,7,663,338,83,206,63,40,183,443,124,294,134,14,8,501,401,809,461,63,152,36,3,679,359,18,149,,93,389,886,153,432,26,65,116,110,99
Thu 23 Aug 2018,,285,252,192,297,56,14,617,321,107,241,75,39,162,499,122,243,149,24,2,424,365,746,452,69,173,53,11,748,384,22,152,,84,428,907,136,502,37,58,130,140,109
Fri 24 Aug 2018,,299,259,226,285,57,19,622,348,87,247,87,51,179,490,116,365,198,13,12,458,414,840,524,133,176,52,7,891,481,20,160,,123,390,1159,156,542,81,77,146,151,134
Sat 25 Aug 2018,,92,71,241,126,126,15,240,198,68,196,68,23,70,287,172,296,424,16,35,165,215,433,533,92,265,40,12,768,488,26,98,7,148,170,952,84,587,121,254,101,97,221
Sun 26 Aug 2018,,232,81,337,157,115,36,249,297,27,124,95,19,56,240,161,292,489,8,25,224,283,509,807,100,457,58,10,834,683,35,154,9,222,139,1363,143,650,189,321,78,64,262
Mon 27 Aug 2018,,372,268,250,400,89,17,682,450,97,256,69,60,211,560,137,323,324,7,11,611,522,1154,721,126,277,47,15,987,724,36,230,26,199,474,1242,192,666,90,88,156,123,184
Tue 28 Aug 2018,,370,319,256,410,117,22,689,477,82,270,98,61,236,631,148,358,310,12,13,637,530,1065,713,83,215,50,9,986,693,26,238,37,180,475,1360,178,657,93,123,156,141,163
Wed 29 Aug 2018,,183,145,115,193,40,8,350,197,79,158,61,21,129,306,112,153,107,13,1,302,250,505,334,62,95,38,5,477,300,13,109,12,68,257,581,112,324,28,41,106,98,78
Thu 30 Aug 2018,,349,320,330,403,102,19,731,453,86,288,88,58,201,601,143,398,312,29,5,578,480,1058,712,79,212,36,8,1012,697,30,227,38,238,448,1326,199,742,78,111,158,143,183
Fri 31 Aug 2018,,244,241,222,296,82,15,578,313,88,258,86,40,167,473,116,327,255,12,9,411,345,744,532,89,194,49,11,770,579,26,166,39,104,344,977,150,532,41,95,139,129,133
Sat 1 Sep 2018,,230,107,400,177,107,31,298,299,48,179,95,26,81,317,199,356,642,62,71,238,308,582,789,136,353,49,9,1140,913,30,145,8,255,223,1498,146,774,177,315,90,80,288
Sun 2 Sep 2018,,50,56,136,66,45,46,102,92,34,99,48,3,36,119,132,156,139,10,22,73,101,196,251,59,134,31,6,355,274,10,38,16,98,93,482,45,223,16,122,51,37,80
Mon 3 Sep 2018,,301,244,146,346,55,16,555,348,82,208,74,36,199,419,108,271,189,17,5,471,387,850,472,69,110,43,5,697,671,20,165,15,121,386,873,142,401,49,36,115,99,123
Tue 4 Sep 2018,,343,293,276,371,92,28,691,394,93,279,93,46,209,575,142,401,301,19,7,569,499,1089,680,79,225,54,9,976,937,24,248,38,162,504,1292,165,610,102,90,147,113,145
Wed 5 Sep 2018,,373,267,228,382,112,20,692,415,88,239,94,33,200,531,134,402,281,17,6,528,458,1066,680,71,203,48,10,944,939,16,209,23,180,421,1166,168,547,79,76,156,134,136
Thu 6 Sep 2018,,247,215,155,246,77,26,450,259,91,179,84,49,158,322,125,211,142,11,4,365,301,691,392,50,91,49,4,610,615,15,147,24,100,309,806,103,349,16,49,124,100,86
Fri 7 Sep 2018,,301,232,227,299,76,28,589,348,86,226,88,47,160,476,125,280,306,23,13,444,378,887,555,123,202,52,6,829,909,19,190,25,140,400,1041,145,595,67,69,144,152,137
Sat 8 Sep 2018,,286,150,455,157,157,33,354,361,68,204,71,24,80,345,211,440,642,86,29,260,300,645,915,184,424,85,18,1371,1216,32,178,17,235,232,1677,159,1018,224,332,96,90,386
