Date,Archibald Park Cyclists,Beach Road Cyclists,Carlton Gore Cycle Counter Cyclists,Curran Street Total Cyclists,Dominion Road Total Cyclists,East Coast Road Cyclists,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Road Cyclists,Great North Rd Total,Great South Road Total Cyclists,HighBrook Cyclists,Hopetoun Street Cyclists,Karangahape Road Cyclists,Lagoon Drive Cyclists,Lake Road Total Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Matakana Cyclists,Nelson Street Cyclists,Nelson Street Lightpath Counter Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Waiheke Cyclists,Orewa Path Cyclists,Ormiston Rd Total Cyclists,Pukekohe - Queen St Cyclists,Quay St Spark Arena Total Cyclists,Quay St Totem UZELT Cyclists,Rankin Ave Cyclists,Saint Lukes Rd Total,SH20A path (sth of Kirkbride Rd),SW Shared Path Cyclists,Symonds St Total Cyclists,Tamaki Drive Total Cyclists,TeAtatu Peninsula Pathway Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Cyclists,Upper Harbour  Cyclists,Upper Queen Street Cyclists,Victoria Street West Total Cyclists,Waterview Unitec Counter Cyclists
Sat 27 Jan 2018,,271,116,417,142,151,26,271,279,44,226,78,28,86,367,229,376,536,45,91,265,429,566,741,233,317,65,7,1382,1269,,194,,164,243,1612,,997,155,274,83,83,223
Sun 28 Jan 2018,,223,81,397,151,132,24,258,263,38,172,75,19,70,345,199,344,506,44,65,320,414,518,724,234,441,56,22,1527,1267,,135,,213,211,1636,,857,159,344,77,101,288
Mon 29 Jan 2018,,314,68,501,177,114,14,241,348,45,195,75,33,80,323,173,400,576,33,52,314,454,604,775,190,426,44,12,1592,1432,,207,,214,208,1798,,1045,203,261,91,101,361
Tue 30 Jan 2018,,475,357,446,458,133,19,797,590,98,338,86,68,249,724,196,439,457,45,15,712,804,1280,849,182,251,74,17,1622,1341,,270,,200,551,1806,,871,179,150,234,148,237
Wed 31 Jan 2018,,451,367,357,482,99,16,821,554,104,330,96,58,302,768,183,527,439,43,15,698,761,1335,834,188,266,51,12,1511,1388,,233,,228,545,1643,,899,174,153,232,195,218
Thu 1 Feb 2018,,211,220,108,186,42,17,374,232,89,175,85,24,183,369,98,235,98,18,6,298,321,485,258,90,61,45,13,570,550,13,86,,72,241,615,,322,102,42,130,95,54
Fri 2 Feb 2018,,322,293,350,393,94,15,651,491,98,288,94,62,224,665,133,445,371,37,5,624,669,1038,670,186,256,48,20,1318,1199,33,232,,171,457,1424,,723,102,146,203,164,194
Sat 3 Feb 2018,,92,79,205,108,106,26,205,123,41,52,81,33,68,268,189,308,475,22,45,115,128,249,415,91,248,67,9,823,475,12,94,,177,151,967,,296,163,284,90,76,167
Sun 4 Feb 2018,,190,83,448,151,84,23,249,275,41,97,56,31,71,330,207,314,679,37,64,208,379,512,740,150,480,49,12,1077,916,17,148,,241,183,1227,,703,238,257,84,48,445
Mon 5 Feb 2018,,297,242,238,322,81,14,483,346,77,223,98,38,163,501,130,393,359,36,32,440,585,765,521,197,347,58,17,1161,864,30,161,,168,397,1263,,632,222,104,156,109,145
Tue 6 Feb 2018,,502,134,726,216,201,19,369,576,38,245,77,19,73,461,253,558,1035,70,62,576,982,996,1171,268,1032,46,17,2317,2009,22,272,,394,223,2693,,1677,167,518,126,90,772
Wed 7 Feb 2018,,426,346,366,485,101,16,802,543,94,374,91,57,265,734,161,519,370,29,14,716,696,1349,842,228,300,58,15,1511,1270,21,247,,232,519,1626,,814,158,125,225,165,206
Thu 8 Feb 2018,,432,381,437,479,129,17,870,607,82,332,114,59,254,848,154,553,426,46,7,702,727,1350,819,198,280,73,11,1700,1475,37,293,,210,558,1792,,913,121,134,277,170,220
Fri 9 Feb 2018,,155,173,130,226,52,15,394,227,76,222,90,19,153,372,78,264,141,18,3,344,295,569,332,113,106,47,12,842,650,14,99,,88,246,980,,410,122,44,123,98,77
Sat 10 Feb 2018,,108,36,100,59,56,26,121,83,37,105,68,15,46,191,78,137,156,18,5,62,57,141,200,98,48,32,13,567,334,17,45,,55,109,772,,203,163,49,47,45,72
Sun 11 Feb 2018,,63,27,77,55,40,23,79,63,26,81,50,8,47,77,79,122,120,14,3,65,67,136,195,57,72,29,8,545,239,6,46,,59,44,779,,155,215,61,54,14,49
Mon 12 Feb 2018,,363,346,309,429,104,14,675,502,116,307,91,55,247,629,141,431,366,58,11,619,710,1200,794,132,298,51,7,1375,1112,27,245,,203,486,1429,,689,207,140,205,142,216
Tue 13 Feb 2018,,229,213,169,254,72,19,474,318,86,220,83,37,195,400,133,303,213,37,2,395,433,783,535,96,83,44,7,1008,683,19,146,,109,331,1249,,418,150,65,130,115,98
