Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
37852,20170104,0400,0.0,1,H
22719,20170104,0500,0.0,1,H
37852,20170104,0500,0.0,1,H
22719,20170104,0600,0.0,1,H
37852,20170104,0600,0.0,1,H
22719,20170104,0700,0.0,1,H
37852,20170104,0700,0.0,1,H
22719,20170104,0800,0.0,1,H
37852,20170104,0800,0.0,1,H
22719,20170104,0900,0.0,1,H
37852,20170104,0900,0.0,1,H
22719,20170104,1000,0.0,1,H
37852,20170104,1000,0.0,1,H
22719,20170104,1100,0.0,1,H
37852,20170104,1100,0.0,1,H
22719,20170104,1200,0.0,1,H
37852,20170104,1200,0.0,1,H
22719,20170104,1300,0.0,1,H
37852,20170104,1300,0.0,1,H
22719,20170104,1400,0.0,1,H
37852,20170104,1400,0.0,1,H
22719,20170104,1500,0.0,1,H
37852,20170104,1500,0.0,1,H
22719,20170104,1600,0.0,1,H
37852,20170104,1600,0.0,1,H
22719,20170104,1700,0.0,1,H
37852,20170104,1700,0.0,1,H
22719,20170104,1800,0.0,1,H
37852,20170104,1800,0.0,1,H
22719,20170104,1900,0.0,1,H
37852,20170104,1900,0.0,1,H
22719,20170104,2000,0.0,1,H
37852,20170104,2000,0.0,1,H
22719,20170104,2100,0.0,1,H
37852,20170104,2100,0.0,1,H
22719,20170104,2200,0.0,1,H
37852,20170104,2200,0.0,1,H
22719,20170104,2300,0.0,1,H
37852,20170104,2300,0.0,1,H
22719,20170105,0000,0.0,1,H
37852,20170105,0000,0.0,1,H
22719,20170105,0100,0.0,1,H
37852,20170105,0100,0.0,1,H
22719,20170105,0200,0.0,1,H
37852,20170105,0200,0.0,1,H
22719,20170105,0300,0.0,1,H
37852,20170105,0300,0.0,1,H
22719,20170105,0400,0.0,1,H
37852,20170105,0400,0.0,1,H
22719,20170105,0500,0.0,1,H
37852,20170105,0500,0.0,1,H
22719,20170105,0600,0.0,1,H
37852,20170105,0600,0.0,1,H
22719,20170105,0700,0.0,1,H
37852,20170105,0700,0.0,1,H
22719,20170105,0800,0.0,1,H
37852,20170105,0800,0.0,1,H
22719,20170105,0900,0.0,1,H
37852,20170105,0900,0.0,1,H
22719,20170105,1000,0.0,1,H
37852,20170105,1000,0.0,1,H
22719,20170105,1100,0.0,1,H
37852,20170105,1100,0.0,1,H
22719,20170105,1200,0.0,1,H
37852,20170105,1200,0.0,1,H
22719,20170105,1300,0.0,1,H
37852,20170105,1300,0.0,1,H
22719,20170105,1400,0.0,1,H
37852,20170105,1400,0.0,1,H
22719,20170105,1500,0.0,1,H
37852,20170105,1500,0.0,1,H
22719,20170105,1600,0.0,1,H
37852,20170105,1600,0.0,1,H
22719,20170105,1700,0.0,1,H
37852,20170105,1700,0.0,1,H
22719,20170105,1800,0.0,1,H
37852,20170105,1800,0.0,1,H
22719,20170105,1900,0.0,1,H
37852,20170105,1900,0.0,1,H
22719,20170105,2000,0.0,1,H
37852,20170105,2000,0.0,1,H
22719,20170105,2100,0.0,1,H
37852,20170105,2100,0.0,1,H
22719,20170105,2200,0.0,1,H
37852,20170105,2200,0.0,1,H
22719,20170105,2300,0.0,1,H
37852,20170105,2300,0.0,1,H
22719,20170106,0000,0.0,1,H
37852,20170106,0000,0.0,1,H
22719,20170106,0100,0.0,1,H
37852,20170106,0100,0.0,1,H
22719,20170106,0200,0.0,1,H
37852,20170106,0200,0.0,1,H
22719,20170106,0300,0.0,1,H
37852,20170106,0300,0.0,1,H
22719,20170106,0400,0.0,1,H
37852,20170106,0400,0.0,1,H
22719,20170106,0500,0.0,1,H
37852,20170106,0500,0.0,1,H
22719,20170106,0600,0.0,1,H
37852,20170106,0600,0.0,1,H
22719,20170106,0700,0.0,1,H
37852,20170106,0700,0.0,1,H
22719,20170106,0800,0.0,1,H
37852,20170106,0800,0.0,1,H
22719,20170106,0900,0.0,1,H
37852,20170106,0900,0.0,1,H
22719,20170106,1000,0.0,1,H
37852,20170106,1000,0.0,1,H
22719,20170106,1100,0.0,1,H
37852,20170106,1100,0.0,1,H
22719,20170106,1200,0.0,1,H
37852,20170106,1200,0.0,1,H
22719,20170106,1300,0.0,1,H
37852,20170106,1300,0.0,1,H
22719,20170106,1400,0.0,1,H
37852,20170106,1400,0.0,1,H
22719,20170106,1500,0.0,1,H
37852,20170106,1500,0.0,1,H
22719,20170106,1600,0.0,1,H
37852,20170106,1600,0.0,1,H
22719,20170106,1700,0.0,1,H
37852,20170106,1700,0.0,1,H
22719,20170106,1800,0.0,1,H
37852,20170106,1800,0.0,1,H
22719,20170106,1900,0.0,1,H
37852,20170106,1900,0.0,1,H
22719,20170106,2000,0.0,1,H
37852,20170106,2000,0.0,1,H
22719,20170106,2100,0.0,1,H
37852,20170106,2100,0.0,1,H
22719,20170106,2200,0.0,1,H
37852,20170106,2200,0.0,1,H
22719,20170106,2300,0.0,1,H
37852,20170106,2300,0.0,1,H
22719,20170107,0000,0.0,1,H
37852,20170107,0000,0.0,1,H
22719,20170107,0100,0.0,1,H
37852,20170107,0100,0.0,1,H
22719,20170107,0200,0.0,1,H
37852,20170107,0200,0.0,1,H
22719,20170107,0300,0.0,1,H
37852,20170107,0300,0.0,1,H
22719,20170107,0400,0.0,1,H
37852,20170107,0400,0.0,1,H
22719,20170107,0500,0.0,1,H
37852,20170107,0500,0.0,1,H
22719,20170107,0600,0.0,1,H
37852,20170107,0600,0.0,1,H
22719,20170107,0700,0.0,1,H
37852,20170107,0700,0.0,1,H
22719,20170107,0800,0.0,1,H
37852,20170107,0800,0.0,1,H
22719,20170107,0900,0.0,1,H
37852,20170107,0900,0.0,1,H
22719,20170107,1000,0.0,1,H
37852,20170107,1000,0.0,1,H
22719,20170107,1100,0.0,1,H
37852,20170107,1100,0.0,1,H
22719,20170107,1200,0.0,1,H
37852,20170107,1200,0.0,1,H
22719,20170107,1300,0.0,1,H
37852,20170107,1300,0.0,1,H
22719,20170107,1400,0.0,1,H
37852,20170107,1400,0.0,1,H
22719,20170107,1500,0.0,1,H
37852,20170107,1500,0.0,1,H
22719,20170107,1600,0.0,1,H
37852,20170107,1600,0.0,1,H
22719,20170107,1700,0.0,1,H
37852,20170107,1700,0.0,1,H
22719,20170107,1800,0.0,1,H
37852,20170107,1800,0.0,1,H
22719,20170107,1900,0.0,1,H
37852,20170107,1900,0.0,1,H
22719,20170107,2000,0.0,1,H
37852,20170107,2000,0.0,1,H
22719,20170107,2100,0.0,1,H
37852,20170107,2100,0.0,1,H
22719,20170107,2200,0.0,1,H
37852,20170107,2200,0.0,1,H
22719,20170107,2300,0.0,1,H
37852,20170107,2300,0.0,1,H
22719,20170108,0000,0.0,1,H
37852,20170108,0000,0.0,1,H
22719,20170108,0100,0.0,1,H
37852,20170108,0100,0.0,1,H
22719,20170108,0200,0.0,1,H
37852,20170108,0200,0.0,1,H
22719,20170108,0300,0.0,1,H
37852,20170108,0300,0.0,1,H
22719,20170108,0400,0.0,1,H
37852,20170108,0400,0.0,1,H
22719,20170108,0500,0.0,1,H
37852,20170108,0500,0.0,1,H
22719,20170108,0600,0.0,1,H
37852,20170108,0600,0.0,1,H
22719,20170108,0700,0.0,1,H
37852,20170108,0700,0.0,1,H
22719,20170108,0800,0.0,1,H
37852,20170108,0800,0.0,1,H
22719,20170108,0900,0.0,1,H
37852,20170108,0900,0.0,1,H
22719,20170108,1000,0.0,1,H
37852,20170108,1000,0.0,1,H
22719,20170108,1100,0.0,1,H
37852,20170108,1100,0.0,1,H
22719,20170108,1200,0.0,1,H
37852,20170108,1200,0.0,1,H
22719,20170108,1300,0.0,1,H
37852,20170108,1300,0.0,1,H
22719,20170108,1400,0.0,1,H
37852,20170108,1400,0.0,1,H
22719,20170108,1500,0.0,1,H
37852,20170108,1500,0.0,1,H
22719,20170108,1600,0.0,1,H
37852,20170108,1600,0.0,1,H
22719,20170108,1700,0.0,1,H
37852,20170108,1700,0.0,1,H
22719,20170108,1800,0.0,1,H
37852,20170108,1800,0.0,1,H
22719,20170108,1900,0.0,1,H
37852,20170108,1900,0.0,1,H
22719,20170108,2000,0.0,1,H
37852,20170108,2000,0.0,1,H
22719,20170108,2100,0.0,1,H
37852,20170108,2100,0.0,1,H
22719,20170108,2200,0.0,1,H
37852,20170108,2200,0.0,1,H
22719,20170108,2300,0.0,1,H
37852,20170108,2300,0.0,1,H
22719,20170109,0000,0.0,1,H
37852,20170109,0000,0.0,1,H
22719,20170109,0100,0.0,1,H
37852,20170109,0100,0.0,1,H
22719,20170109,0200,0.0,1,H
37852,20170109,0200,0.0,1,H
22719,20170109,0300,0.0,1,H
37852,20170109,0300,0.0,1,H
22719,20170109,0400,0.0,1,H
37852,20170109,0400,0.0,1,H
22719,20170109,0500,0.0,1,H
37852,20170109,0500,0.0,1,H
22719,20170109,0600,0.0,1,H
37852,20170109,0600,0.0,1,H
22719,20170109,0700,0.0,1,H
37852,20170109,0700,0.0,1,H
22719,20170109,0800,0.0,1,H
37852,20170109,0800,0.0,1,H
22719,20170109,0900,0.0,1,H
37852,20170109,0900,0.0,1,H
22719,20170109,1000,0.0,1,H
37852,20170109,1000,0.0,1,H
22719,20170109,1100,0.0,1,H
37852,20170109,1100,0.0,1,H
22719,20170109,1200,0.0,1,H
37852,20170109,1200,0.0,1,H
22719,20170109,1300,0.0,1,H
37852,20170109,1300,0.0,1,H
22719,20170109,1400,0.0,1,H
37852,20170109,1400,0.0,1,H
22719,20170109,1500,0.0,1,H
37852,20170109,1500,0.0,1,H
22719,20170109,1600,0.0,1,H
37852,20170109,1600,0.0,1,H
22719,20170109,1700,0.0,1,H
37852,20170109,1700,0.0,1,H
22719,20170109,1800,0.0,1,H
37852,20170109,1800,0.0,1,H
22719,20170109,1900,0.0,1,H
37852,20170109,1900,0.0,1,H
22719,20170109,2000,0.0,1,H
37852,20170109,2000,0.0,1,H
22719,20170109,2100,0.0,1,H
37852,20170109,2100,0.0,1,H
22719,20170109,2200,0.0,1,H
37852,20170109,2200,0.0,1,H
22719,20170109,2300,0.0,1,H
37852,20170109,2300,0.0,1,H
22719,20170110,0000,0.0,1,H
37852,20170110,0000,0.0,1,H
22719,20170110,0100,0.0,1,H
37852,20170110,0100,0.0,1,H
22719,20170110,0200,0.0,1,H
37852,20170110,0200,0.0,1,H
22719,20170110,0300,0.0,1,H
37852,20170110,0300,0.0,1,H
22719,20170110,0400,0.0,1,H
37852,20170110,0400,0.0,1,H
22719,20170110,0500,0.0,1,H
37852,20170110,0500,0.0,1,H
22719,20170110,0600,0.0,1,H
37852,20170110,0600,0.0,1,H
